slot,total_cus,max_dist_cus,longest_path_cus,track0_cus,track1_cus,track2_cus,track3_cus,empty_cus
350479888,46110636,13282996,8127413,13282996,13087762,13052251,13081506,2163000,8556879
350479889,45940037,19004562,15069170,18847765,18830908,19004562,18832243,2165100,31740541
350479890,43710983,16828692,14531511,16828692,16757667,16559586,15930303,2167200,24532465
350479891,43402012,18195671,16908282,18195671,18033919,17914347,17897117,2173500,30812542
350479892,45591466,10871498,7491809,10871498,10835958,10852411,10860199,2171400,0
350479893,45784432,17032965,16865119,16705587,16732458,16994861,17032965,1146600,22828039
350479897,44944380,21720781,20197065,21628089,21720781,18986848,18986987,2169300,38547625
350479898,45038691,16052717,13058977,15739426,15851996,15931851,16052717,2163000,20700299
350479899,42006997,19229288,17419135,19229288,19082132,19020104,19040416,2156700,36521643
350479900,46351437,12377936,7906858,12331602,12377936,12346414,12313656,2181900,5200071
350479901,45600108,12366929,9928298,12284727,12366929,12278201,12269326,1404900,5003975
350479902,44613397,17243663,15090909,17217217,17240207,17243663,17200739,2923200,27211629
350479903,43135939,19656840,17276682,19560345,19542023,19656840,19587656,2163000,37373925
350479904,41206863,12000136,8361085,11544639,12000136,11379986,10803124,2177700,6698722
350479905,45590067,16567682,15932189,16141864,16246207,16567682,16054917,2163000,21583603
350479906,41197740,13388621,11062270,13284035,13199125,13107236,13388621,2167200,13948477
350479907,44794143,16112149,14047108,16112149,16065111,16074725,15975593,2144100,21577535
350479920,44316193,15357809,12730309,15357809,15285791,15283799,15293287,2316300,19220793
350479928,45050508,13226229,10262669,13226229,13113935,13145157,13164671,11923786,19523270
350479932,44374711,18911882,16823052,18732943,18737360,18729273,18911882,2278500,33015247
350479938,40003976,18503482,16720945,17679565,18161025,18503482,17678673,2169300,34188069
350479940,46452120,11563073,7254797,11490547,11484465,11430593,11563073,9100474,8617032
350479941,44674207,13224830,10772783,13224830,13094686,13000290,12997100,2163000,9805699
350479942,44539404,17946405,15541792,17919497,17946405,17882873,17929187,2506654,29645212
350479943,40778223,17841402,15885342,17841402,15674186,17677484,14029361,2163000,26607210
350479948,46084398,12549086,5906063,12124524,12549086,11965311,12304064,2169300,5027887
350479952,45928245,13355465,9744881,13355465,12795030,13195825,12837942,2171400,8427417
350479953,46010195,14585868,11029527,13912110,14585868,13904927,14501157,2095800,12989667
350479954,45291528,15797154,12908078,15792119,15714077,15797154,14206442,2440447,18658711
350479955,45139513,16034122,11681811,14126394,16034122,14107808,15736326,2165100,17030237
350479956,43710521,14281232,11378195,14281232,14059080,13326943,13706736,2110500,13773970
350479957,44387720,15049022,12290631,14993967,15049022,13595722,14623680,1906800,15781471
350479958,44009962,19459860,18935390,18839028,19459860,17654919,19174588,2324700,33443133
350479959,43784523,17091330,15634861,17045083,16990464,17091330,16997837,3394859,27735050
350479960,44947986,14226379,10016130,14186644,14226379,14201908,14170871,2171400,14009216
350479961,43800746,13427706,10883829,13373709,13427706,13280620,13309726,2156700,11747715
350479962,43749172,15952017,12707058,15952017,15857762,15776871,15789826,2175600,21802904
350479963,43550514,17908380,16301026,17908380,17895150,17894563,17889109,2152500,30189188
350479964,45269818,14364999,9546595,14063659,14017471,13991496,14364999,2179800,13347607
350479966,44998418,18278160,16819963,15919815,18278160,16678393,16015306,1245300,23138556
350479967,44612598,14264411,11258588,14264411,14087451,14197530,14036008,1948800,13921602
350479968,45438861,11770398,7138420,11004248,11159381,11770398,10543587,3863976,2902729
350479969,46284929,12167368,7285987,12079734,11526040,12042723,12167368,2398200,3929136
350479970,46248888,13776618,9901823,13689585,13613145,13611882,13776618,2049600,10491942
350479971,45089454,12004746,8376252,12004746,11860920,11545967,11589174,1803900,3715253
350479972,45168575,13872573,9403332,13638869,13593965,13621550,13872573,2685900,12244282
350479973,43861016,15723454,13942533,15676662,15544772,15723454,15534018,2165100,20782990
350479974,44106677,13478147,10393834,13380524,13367239,13478147,13441990,2167200,11728423
350479975,43730086,16532434,14822624,16390078,16399939,16532434,16469867,2167200,24229432
350479976,45682437,12566176,8133654,11895090,12291125,12257068,12566176,2177700,5504722
350479977,45615136,11963574,5751763,11593573,11963574,11852348,11834708,2171400,3800467
350479978,46261923,12055979,6219036,11874874,12055979,11708336,11727321,2171400,3275987
350479979,45911762,11755504,5682857,11680987,11381296,11755504,11642284,2165100,2713409
350479980,44472314,16220579,13671619,15894207,15895162,16220579,16089784,2169300,21796718
350479981,45040580,14777797,12438024,14270922,14777797,14508823,14300300,2118900,14936162
350479982,45970963,12177448,8498078,12177448,12103091,12123101,12089826,2215500,4738003
350479983,45185651,17227560,13725093,17166392,17227560,17141715,17170248,6567283,30087547
350479984,44908484,16737110,13318265,16407665,16737110,16408965,16634187,2194500,23473943
350479985,44168676,14542283,11911039,14542283,14494217,14500641,14412971,2129400,15910836
350479986,44035531,14417746,11024397,14417746,14343198,14345538,14300481,2198700,15570132
350479987,44612487,16777599,14599656,16519482,16777599,16467028,16474211,2154600,23780433
350479988,44400631,17162866,14600689,16861317,17162866,16951207,16883077,2173500,25631336
350479989,44692017,22137072,21066192,21202046,22137072,21238423,21287310,2165100,43337934
350479990,44730206,17773818,16319061,17581508,17477417,17773818,17628162,2160900,27891599
350479991,44000141,20448607,18713502,19734625,20448607,20218089,20261665,2160900,38823745
350479996,42210029,16142869,15007921,15996035,16142869,15983415,16116324,2169300,24197914
350480000,44449585,14078233,11612958,13859170,13957327,14016694,14078233,2175600,13637439
350480001,45315712,15679337,13551074,15601850,15679337,15614037,15590312,2167200,19337024
350480002,41191212,13335426,11019692,13335426,13182968,13239650,12972876,2167200,13706908
350480008,45631491,15405983,12550560,15205175,15214964,15302645,15405983,2171400,17668676
350480019,43325210,12628782,10058040,12628782,12568603,12514100,12496860,2165100,9048235
350480022,41425470,14032830,11936265,13942862,14032830,13955569,14029681,2165100,16700572
350480032,45857675,17760020,13429167,17760020,17564199,17707950,17629537,2186100,26990131
350480033,44487777,17279284,14626764,17233304,17245568,17197356,17279284,2165100,26632835
350480040,46508891,11867315,4003607,11599339,11688317,11867315,11508354,1934100,2088534
350480041,45445965,12968680,11057182,12968680,12115611,12654266,12153040,2058000,6503632
350480042,45290098,16827893,14161803,16827893,16728134,16788296,16786745,2515800,24356770
350480043,44371130,18854375,17424827,18603697,18590284,18854375,18661921,2163000,32502147
350480044,43945897,18413617,17263683,18413617,17719585,17616394,17613362,2169300,29586361
350480045,44971347,20803473,19694579,20716011,20803473,20687679,20717086,2158800,40111702
350480046,44864563,21057549,18807540,20956804,20956204,21057549,20963294,2167200,41236488
350480047,45836058,24169395,22694074,24169395,23932838,23920862,23892567,2095800,52175404
350480048,46093758,11668831,8173097,11529345,11538848,11530032,11668831,1856400,2029698
350480049,46271694,11769935,5656274,11705466,11769935,11442835,11434209,2385600,2466351
350480050,44799792,16525840,13627805,16335726,16072806,15524729,16525840,2236500,21895809
350480051,44534656,18861525,16764399,18829035,18826498,18861525,18847388,2270100,33099890
350480052,45131079,20839649,18582842,20751033,20746491,20839649,20666069,2171400,40043563
350480053,45551782,21852248,18908425,21508869,21852248,21512193,21840246,2184000,43345774
350480054,44889608,15525939,13018003,15525939,15490722,15518227,15466522,2158800,19270602
350480055,45536610,14107714,10733966,14107714,13978217,13971313,13970219,2076900,12567753
350480056,46917406,12252062,6948833,11760830,12252062,11542300,10972140,1898400,1508326
350480057,45694175,12617983,9380244,12601617,12480703,12481462,12617983,2438100,6925690
350480058,44066602,16587069,13573069,16526743,16510134,16587069,16553557,4361921,26472822
350480059,44107921,17458890,15681798,17458890,17025437,17269293,17166139,2167200,26979038
350480064,45191763,15600913,11976968,15463465,14992990,14326417,15600913,2186100,17378122
350480072,42551423,14316924,11050442,14316924,14166468,14184629,14196771,2167200,16480569
350480075,41571945,14861280,10266372,14861280,13774240,14210527,13830520,6275149,21379771
350480076,45577799,12022494,7506170,11619115,11642396,12022494,11955937,2205000,3867143
