track,start_cus,end_cus,on_critical_path,is_simple_vote
0,390600,392700,false,true
1,390600,392700,false,true
0,392700,394800,false,true
1,392700,394800,false,true
0,394800,396900,false,true
1,394800,396900,false,true
0,396900,399000,false,true
1,396900,399000,false,true
0,399000,401100,false,true
1,399000,401100,false,true
0,401100,403200,false,true
1,401100,403200,false,true
0,403200,405300,false,true
1,403200,405300,false,true
0,405300,407400,false,true
1,405300,407400,false,true
0,407400,409500,false,true
1,407400,409500,false,true
0,409500,411600,false,true
1,409500,411600,false,true
0,411600,413700,false,true
1,411600,413700,false,true
0,413700,415800,false,true
1,413700,415800,false,true
0,415800,417900,false,true
1,415800,417900,false,true
0,417900,420000,false,true
1,417900,420000,false,true
0,420000,422100,false,true
1,420000,422100,false,true
0,422100,424200,false,true
2,2060192,2236759,false,false
1,2203323,2204065,false,false
1,2204065,2541220,false,false
0,2212013,2403580,false,false
3,2220102,2402669,false,false
2,2236759,2417825,false,false
1,422100,424200,false,true
0,424200,426300,false,true
1,424200,426300,false,true
0,426300,428400,false,true
1,426300,428400,false,true
0,428400,430500,false,true
1,428400,430500,false,true
0,430500,432600,false,true
1,430500,432600,false,true
0,432600,434700,false,true
1,432600,434700,false,true
0,434700,436800,false,true
1,434700,436800,false,true
0,436800,438900,false,true
1,436800,438900,false,true
0,438900,441000,false,true
1,438900,441000,false,true
0,441000,443100,false,true
1,441000,443100,false,true
0,443100,445200,false,true
1,443100,445200,false,true
0,445200,447300,false,true
1,445200,447300,false,true
0,447300,449400,false,true
1,447300,449400,false,true
0,449400,451500,false,true
1,449400,451500,false,true
0,451500,453600,false,true
1,451500,453600,false,true
0,453600,455700,false,true
1,453600,455700,false,true
0,455700,457800,false,true
1,455700,457800,false,true
0,457800,459900,false,true
1,457800,459900,false,true
0,459900,462000,false,true
1,459900,462000,false,true
0,462000,464100,false,true
1,462000,464100,false,true
0,464100,466200,false,true
3,2402669,2582235,false,false
2,2417825,2476429,false,false
0,2403580,2505992,false,false
2,2476429,2533534,false,false
1,464100,466200,false,true
0,466200,468300,false,true
1,466200,468300,false,true
0,468300,470400,false,true
1,468300,470400,false,true
0,470400,472500,false,true
1,470400,472500,false,true
0,472500,474600,false,true
1,472500,474600,false,true
0,474600,476700,false,true
1,474600,476700,false,true
0,476700,478800,false,true
1,476700,478800,false,true
0,478800,480900,false,true
1,478800,480900,false,true
0,480900,483000,false,true
1,480900,483000,false,true
0,483000,485100,false,true
1,483000,485100,false,true
0,485100,487200,false,true
1,485100,487200,false,true
0,487200,489300,false,true
1,487200,489300,false,true
